id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
1182337547307016200,0.4716,0.2027,0.204,0.1218,0.7228,0.2772,0.2227,0.7773
90546699101585e4,0.6128,0.2261,0.0945,0.0666,0.7135,0.2865,0.2375,0.7625
1224098659538821e3,0.0091,0.0085,0.285,0.6974,0.9801,0.0199,0.7633,0.2367
1005832440047382500,0.316,0.3468,0.2591,0.0781,0.1614,0.8386,0.0805,0.9195
27488917,0.3029,0.1834,0.3271,0.1866,0.1311,0.8689,0.0714,0.9286
270869801,0.0403,0.5208,0.3509,0.088,0.0733,0.9267,0.0174,0.9826
2237109578,0.0303,0.0967,0.3648,0.5082,0.0445,0.9555,0.0851,0.9149
32950562,0.2322,0.2427,0.3135,0.2116,0.9157,0.0843,0.061,0.939
1289767643872985e3,0.4899,0.1942,0.1463,0.1696,0.9066,0.0934,0.1318,0.8682
2268641531,0.7686,0.1079,0.07,0.0535,0.9816,0.0184,0.1162,0.8838
885927402697887700,0.1015,0.1289,0.5344,0.2352,0.834,0.166,0.5762,0.4238
2393355962,0.3872,0.211,0.2054,0.1964,0.7834,0.2166,0.2762,0.7238
539998850,0.0371,0.0735,0.4857,0.4037,0.8612,0.1388,0.3151,0.6849
1205981543098921e3,0.2532,0.1045,0.2981,0.3442,0.7429,0.2571,0.3393,0.6607
103337413628493e4,0.1298,0.1476,0.2268,0.4958,0.8367,0.1633,0.253,0.747
751437520433451e3,0.3417,0.1557,0.2654,0.2372,0.8327,0.1673,0.0878,0.9122
441657678,0.1882,0.1042,0.4682,0.2394,0.9439,0.0561,0.2368,0.7632
1270934478639202300,0.5831,0.0774,0.1847,0.1548,0.9581,0.0419,0.2659,0.7341
128372538,0.1878,0.0703,0.2101,0.5319,0.9325,0.0675,0.8038,0.1962
2912526004,0.0652,0.2201,0.4541,0.2606,0.9651,0.0349,0.0665,0.9335
1259128796969566200,0.0704,0.132,0.4428,0.3547,0.9537,0.0463,0.2736,0.7264
305230617,0.0133,0.0195,0.1092,0.8581,0.9424,0.0576,0.5693,0.4307
1120036212234948600,0.0103,0.0051,0.1775,0.8071,0.9412,0.0588,0.7673,0.2327
1269921092,0.057,0.0201,0.2691,0.6537,0.8441,0.1559,0.8666,0.1334
1173942185219317800,0.0348,0.0502,0.3981,0.5169,0.9756,0.0244,0.1998,0.8002
758433605588807700,0.3822,0.0931,0.3864,0.1383,0.9828,0.0172,0.2403,0.7597
1216706520458633200,0.2251,0.2844,0.1437,0.3469,0.8037,0.1963,0.4506,0.5494
1294685038357946400,0.0353,0.0852,0.0685,0.8109,0.9717,0.0283,0.1232,0.8768
1733054995,0.056,0.0572,0.3463,0.5405,0.963,0.037,0.1935,0.8065
7.8152878663031194e+17,0.02,0.0639,0.7118,0.2043,0.0174,0.9826,0.0665,0.9335
1148573224558571500,0.0239,0.0356,0.2322,0.7083,0.9783,0.0217,0.125,0.8751
2491313472,0.0085,0.0111,0.1445,0.8359,0.0777,0.9223,0.9063,0.0937
4122408490,0.0145,0.0161,0.2676,0.7018,0.9243,0.0757,0.1563,0.8437
763733436028813300,0.0068,0.0158,0.3139,0.6634,0.1129,0.8871,0.3059,0.6941
364809856,0.0679,0.0702,0.5004,0.3615,0.6903,0.3097,0.2995,0.7005
144636310,0.0019,0.006,0.8005,0.1915,0.9988,0.0012,0.3111,0.6889
48682391,0.0146,0.0063,0.0602,0.919,0.9759,0.0241,0.3976,0.6024
705000731565297700,0.6714,0.0871,0.1072,0.1344,0.4866,0.5134,0.6508,0.3492
1145760997061341200,0.012,0.0039,0.2293,0.7548,0.9511,0.0489,0.7578,0.2422
214438653,0.0075,0.0086,0.1365,0.8474,0.9725,0.0275,0.1418,0.8582
1288601622,0.0031,0.0012,0.1235,0.8722,0.9989,0.0011,0.3576,0.6424
124170557,0.0276,0.0186,0.3767,0.5771,0.9916,0.0084,0.2176,0.7824
559259647,0.0133,0.0123,0.3628,0.6116,0.9991,9e-4,0.0422,0.9578
1635055698,0.1032,0.2279,0.4609,0.208,0.0869,0.9131,0.047,0.953
1039619471416148e3,0.0479,0.0052,0.1308,0.8161,0.7205,0.2795,0.8616,0.1384
