id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
2293353366,0.0598,0.3025,0.6062,0.0316,0.482,0.518,0.0021,0.9979
20285516,0.1742,0.3309,0.1722,0.3226,0.0111,0.9889,0.002,0.998
1591116517,0.0186,0.0052,0.1937,0.7826,0.0018,0.9982,3e-4,0.9997
522579004,0.7454,0.2532,8e-4,5e-4,0.9938,0.0062,0,1
76077839,0.0655,0.3816,0.2307,0.3222,0.5343,0.4657,5e-4,0.9995
2964220449,6e-4,0.0026,9e-4,0.9959,0.9997,3e-4,2e-4,0.9998
775366566338662400,0.0509,0.0941,0.2486,0.6064,0.0014,0.9986,4e-4,0.9996
613729131,0.2402,0.1809,0.3109,0.268,0.9999,1e-4,0.5452,0.4548
