id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
1224098659538821e3,0.0978,0.0544,0.0828,0.7651,0.0025,0.0025,0.834,0.166
1005832440047382500,0.2896,0.5044,0.0782,0.1279,0.9844,0.9844,0.8226,0.1774
27488917,0.032,0.1254,0.5326,0.31,0.9959,0.9959,4e-4,0.9996
2393355962,0.5065,0.4742,0.0165,0.0028,0.2729,0.2729,0.9185,0.0815
1205981543098921e3,0.0077,0.0046,0.0013,0.9864,0.0086,0.0086,0.0037,0.9963
751437520433451e3,0.0331,0.249,0.7141,0.0037,0.9794,0.9794,3e-4,0.9997
1259128796969566200,0.3757,0.5343,0.0563,0.0338,0.0088,0.0088,0.6279,0.3721
364809856,0.1314,0.6279,0.1465,0.0942,0.1879,0.1879,0.0141,0.9859
214438653,0.0044,0.0048,0.0034,0.98740000000000006,0.0118,0.0118,0.6892,0.3108
124170557,0.3788,0.2197,0.2027,0.1989,0.0019,0.0019,0.7713,0.2287
1039619471416148e3,0.0047,0.0119,0.0126,0.9709,0.5704,0.5704,0.3706,0.6294
33825288,0.0032,0.0012,0.0031,0.9924,0.9829,0.9829,0.1865,0.8135
1287634816800895e3,1e-4,2e-4,2e-4,0.9994,4e-4,4e-4,1e-4,0.9999
3304408419,0.2409,0.2904,0.3096,0.1592,0.0128,0.0128,0.0149,0.9851
926732160568045600,0.0187,0.0905,0.1454,0.7454,0.5199,0.5199,0.9767,0.0233
3374126355,0.0864,0.2616,0.5219,0.1301,0.0015,0.0015,0.7163,0.2837
