id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
1069678566416285700,0.1771,0.0692,0.3118,0.4419,0.9098,0.0902,0.4363,0.5637
4061690541,0.0015,0.0067,0.707,0.2849,0.9844,0.0156,0.1677,0.8323
1184467162334945300,0.0643,0.067,0.3527,0.516,0.9683,0.0317,0.5676,0.4324
802808687790346200,0.1683,0.2687,0.244,0.319,0.9288,0.0712,0.1606,0.8394
3498200483,0.0314,0.0513,0.1487,0.7685,0.8544,0.1456,0.809,0.191
456276258,0.4587,0.2043,0.1546,0.1825,0.5192,0.4808,0.1851,0.8149
19597759,0.1108,0.105,0.4816,0.3026,0.9386,0.0614,0.2468,0.7532
2190404804,0.1425,0.1073,0.318,0.4322,0.9693,0.0307,0.7016,0.2984
1296481986194878500,0.145,0.0786,0.1298,0.6466,0.8865,0.1135,0.317,0.683
1017353523502174200,0.3691,0.4081,0.1602,0.0626,0.788,0.212,0.0949,0.9051
1070385806576107500,0.0731,0.0153,0.1533,0.7583,0.862,0.138,0.9057,0.0943
519386720,0.0812,0.032,0.2621,0.6247,0.9066,0.0934,0.6458,0.3542
401337078,0.1299,0.1564,0.3786,0.3351,0.778,0.222,0.114,0.886
243627980,0.064,0.1244,0.392,0.4196,0.9744,0.0256,0.0822,0.9178
836179838616617e3,0.2465,0.2917,0.2928,0.1689,0.0706,0.9294,0.0654,0.9346
184861746,0.0074,0.0098,0.248,0.7347,0.9927,0.0073,0.2493,0.7507
200544721,0.0064,0.0206,0.218,0.755,0.9814,0.0186,0.1786,0.8214
704912585624309800,0.047,0.1627,0.572,0.2183,0.0302,0.9698,0.0689,0.9311
204970536,0.0167,0.0612,0.3178,0.6042,0.9777,0.0223,0.195,0.805
365577229,0.0283,0.0451,0.205,0.7217,0.1281,0.8719,0.3178,0.6822
707631900668592100,0.2899,0.4684,0.193,0.0486,0.9503,0.0497,0.1712,0.8288
1024487340,0.0629,0.0311,0.3865,0.5195,0.9846,0.0154,0.4063,0.5937
970706906,0.0643,0.1865,0.3215,0.4277,0.9371,0.0629,0.1692,0.8308
30413824,0.3195,0.1933,0.293,0.1942,0.8301,0.1699,0.1253,0.8747
2961360262,0.0158,0.047,0.3819,0.5553,0.041,0.959,0.0759,0.9241
1062417602604097500,0.1731,0.3653,0.1539,0.3076,0.0378,0.9622,0.0998,0.9002
3804101379,0.0476,0.0653,0.3415,0.5456,0.9928,0.0072,0.6225,0.3775
1085297295904723e3,0.3439,0.1865,0.2849,0.1847,0.9577,0.0423,0.1101,0.8899
1149600607981858800,0.0088,0.0549,0.01,0.9263,0.8297,0.1703,0.568,0.432
207446944,0.036,0.0529,0.2323,0.6788,0.9629,0.0371,0.1824,0.8176
1279857018430468e3,0.125,0.0421,0.2062,0.6266,0.738,0.262,0.5522,0.4478
1143276947163832300,0.0302,0.0987,0.5272,0.3439,0.9178,0.0822,0.2182,0.7818
626730316,0.1407,0.2085,0.1086,0.5423,0.6016,0.3984,0.0326,0.9674
4837708402,0.0278,0.0198,0.3347,0.6177,0.9873,0.0127,0.4442,0.5558
735298944,0.131,0.0443,0.2215,0.6032,0.9433,0.0567,0.3056,0.6944
190195939,0.073,0.0503,0.2084,0.6683,0.978,0.022,0.3747,0.6253
969347839842189300,0.1678,0.0955,0.5208,0.2159,0.7565,0.2435,0.1025,0.8975
4912797609,0.3144,0.1999,0.3546,0.1312,0.8586,0.1414,0.3179,0.6821
1877098927,0.1743,0.1131,0.4187,0.294,0.9772,0.0228,0.3098,0.6902
418498666,0.1425,0.0866,0.4432,0.3277,0.9844,0.0156,0.5656,0.4344
1300708929350107100,0.7602,0.1606,0.0632,0.016,0.3822,0.6178,0.5179,0.4821
501094087,0.0666,0.229,0.5157,0.1886,0.976,0.024,0.027,0.973
748795600104067100,0.0428,0.0429,0.6002,0.3141,0.8982,0.1018,0.3864,0.6136
4243159019,0.0813,0.0813,0.4596,0.3778,0.4886,0.5114,0.2129,0.7871
462078030,0.0125,0.0513,0.5518,0.3844,0.9879,0.0121,0.1025,0.8975
943951936688197600,0.0247,0.0246,0.3589,0.5918,0.9922,0.0078,0.2195,0.7805
1216829504921968600,0.6975,0.1419,0.1134,0.0472,0.9537,0.0463,0.0791,0.9209
1222012828015612e3,0.2989,0.0421,0.2469,0.4121,0.7982,0.2018,0.9228,0.0772
806630803971178500,0.3151,0.1783,0.2305,0.2761,0.9019,0.0981,0.3982,0.6018
269415960,0.3836,0.3213,0.2371,0.0579,0.9456,0.0544,0.0698,0.9302
4894263947,0.0216,0.0185,0.2929,0.6671,0.933,0.067,0.3048,0.6952
1041059174665408500,0.4708,0.1284,0.2454,0.1555,0.1379,0.8621,0.4494,0.5506
1217493644086796300,0.0901,0.1791,0.3979,0.333,0.9541,0.0459,0.5708,0.4292
83344537903949e4,0.0459,0.0168,0.2485,0.6888,0.886,0.114,0.4705,0.5295
927746610016215e3,0.1997,0.2045,0.1779,0.4179,0.9186,0.0814,0.3468,0.6532
276927591,0.0192,0.0119,0.1872,0.7818,0.9788,0.0212,0.6972,0.3028
1269921092,0.057,0.0201,0.2691,0.6537,0.8441,0.1559,0.8666,0.1334
2778359990,0.0146,0.0497,0.3993,0.5364,0.923,0.077,0.3283,0.6717
1104721569958506500,0.0459,0.0422,0.2894,0.6225,0.9422,0.0578,0.5733,0.4267
1148515963027054600,0.1936,0.041,0.3015,0.4638,0.1125,0.8875,0.2196,0.7804
794884690599694300,0.0284,0.0058,0.1035,0.8622,0.9473,0.0527,0.8203,0.1797
128020191,0.3968,0.2071,0.2308,0.1653,0.9384,0.0616,0.1479,0.8521
16263066,0.0116,0.0034,0.1807,0.8042,0.7385,0.2615,0.6712,0.3288
103375095,0.0528,0.0079,0.1071,0.8322,0.8143,0.1857,0.704,0.296
50977997,0.0164,0.0145,0.3943,0.5748,0.9663,0.0337,0.2924,0.7076
1285301541218517e3,0.0552,0.2949,0.3352,0.3147,0.3036,0.6964,0.1131,0.8869
2958831413,0.5572,0.1331,0.1251,0.1847,0.9586,0.0414,0.0441,0.9559
2742967091,0.0953,0.1719,0.5153,0.2174,0.4345,0.5655,0.181,0.819
846281416061149200,0.0469,0.0762,0.5238,0.3532,0.9871,0.0129,0.1171,0.8829
12153797847395e5,0.0186,0.0444,0.3333,0.6036,0.9406,0.0594,0.2636,0.7364
555854778,0.015,0.0072,0.116,0.8618,0.9294,0.0706,0.6842,0.3158
1225007992673853400,0.1361,0.0586,0.3113,0.494,0.7881,0.2119,0.8852,0.1148
229960915,0.107,0.0284,0.5764,0.2883,0.982,0.018,0.1462,0.8538
1273513491031343e3,0.231,0.5187,0.0975,0.1528,0.7677,0.2323,0.1127,0.8873
935599029890797600,0.3555,0.2624,0.2137,0.1684,0.1349,0.8651,0.094,0.906
402249310,0.0582,0.1595,0.5057,0.2766,0.9455,0.0545,0.2052,0.7948
795181403575029800,0.0148,0.0165,0.2083,0.7604,0.9905,0.0095,0.3339,0.6661
1116208841954398200,0.0636,0.0641,0.3924,0.4799,0.9123,0.0877,0.4349,0.5651
303889694,0.1228,0.1259,0.3736,0.3776,0.6777,0.3223,0.2938,0.7062
1255171119964979200,0.0802,0.0292,0.1393,0.7513,0.9232,0.0768,0.872,0.128
1231236745708081200,0.0566,0.1053,0.4223,0.4158,0.99,0.01,0.1684,0.8316
2329230386,0.0258,0.0052,0.2164,0.7525,0.9354,0.0646,0.7719,0.2281
22486465,0.3,0.1431,0.2782,0.2786,0.8798,0.1202,0.4185,0.5815
1264133169965662200,0.3038,0.137,0.4507,0.1085,0.3339,0.6661,0.2188,0.7812
1164569359869722600,0.1146,0.025,0.269,0.5914,0.7992,0.2008,0.8507,0.1493
4208658790,0.0446,0.2167,0.5838,0.1549,0.9793,0.0207,0.105,0.895
1272104368465158100,0.231,0.247,0.3346,0.1874,0.956,0.044,0.3816,0.6184
4447787607,0.0891,0.1387,0.4618,0.3104,0.8851,0.1149,0.3166,0.6834
1214930405855580200,0.1583,0.1365,0.5982,0.1069,0.0694,0.9306,0.0981,0.9019
1288096506986279e3,0.0351,0.3,0.3563,0.3086,0.0496,0.9504,0.0875,0.9125
456683457,0.133,0.1905,0.4392,0.2374,0.6267,0.3733,0.1633,0.8367
996890886,0.4049,0.3993,0.1486,0.0472,0.152,0.848,0.0409,0.9591
444351994,0.0119,0.065,0.0645,0.8586,0.862,0.138,0.1485,0.8515
532486074,0.042,0.0289,0.2788,0.6503,0.9679,0.0321,0.3449,0.6551
1285984975477788700,0.1717,0.068,0.3503,0.41,0.8492,0.1508,0.7354,0.2646
1276462178028019700,0.0415,0.0293,0.329,0.6003,0.3803,0.6197,0.674,0.326
1218800536989859800,0.1081,0.0746,0.5214,0.2959,0.9343,0.0657,0.2835,0.7165
1168900130076074e3,9e-4,0.0041,0.0858,0.9091,0.984,0.016,0.517,0.483
891659008888766500,0.2158,0.0898,0.2572,0.4372,0.9798,0.0202,0.4039,0.5961
1278435520566132700,0.0415,0.012,0.2701,0.6765,0.9128,0.0872,0.3264,0.6736
1355335850,0.0409,0.0847,0.6277,0.2466,0.9852,0.0148,0.3175,0.6825
3329760951,0.0892,0.0178,0.15,0.743,0.8483,0.1517,0.5122,0.4878
927568703985782800,0.0267,0.0186,0.4084,0.5463,0.9898,0.0102,0.3145,0.6855
2406829848,0.0086,0.0037,0.187,0.8007,0.9556,0.0444,0.7996,0.2004
808089998172024800,0.1964,0.2029,0.3042,0.2964,0.9224,0.0776,0.0838,0.9162
3105401741,0.0215,0.0273,0.5535,0.3977,0.9884,0.0116,0.2282,0.7718
128911234,0.0453,0.075,0.5929,0.2868,0.9794,0.0206,0.1047,0.8953
1173942185219317800,0.0348,0.0502,0.3981,0.5169,0.9756,0.0244,0.1998,0.8002
787687677055434800,0.129,0.0999,0.4574,0.3136,0.9948,0.0052,0.3931,0.6069
1285596169335459800,0.0335,0.0431,0.4396,0.4838,0.9886,0.0114,0.2287,0.7713
1191630819841970200,0.2267,0.095,0.1334,0.5449,0.9626,0.0374,0.8175,0.1825
1104801590911868900,0.2172,0.4769,0.2877,0.0182,0.0907,0.9093,0.0086,0.9914
2393355962,0.3872,0.211,0.2054,0.1964,0.7834,0.2166,0.2762,0.7238
753361337162534900,0.4876,0.1277,0.1586,0.2262,0.871,0.129,0.2989,0.7011
102496469,0.2108,0.1515,0.3134,0.3243,0.8571,0.1429,0.3001,0.6999
1853499230,0.1183,0.0355,0.1704,0.6758,0.9618,0.0382,0.5364,0.4636
285498814,0.0673,0.0469,0.2599,0.6259,0.8001,0.1999,0.2694,0.7306
92396625,0.1379,0.2612,0.4629,0.138,0.0977,0.9023,0.1144,0.8856
82308410175855e4,0.2825,0.2443,0.2974,0.1758,0.8767,0.1233,0.1961,0.8039
3055518994,0.71,0.1402,0.0838,0.0661,0.8468,0.1532,0.7207,0.2793
88257580,0.1031,0.2943,0.4621,0.1404,0.9242,0.0758,0.1164,0.8836
317931537,0.0628,0.0297,0.4698,0.4377,0.9928,0.0072,0.1672,0.8328
2316753940,0.0117,0.0099,0.1846,0.7939,0.9077,0.0923,0.6692,0.3308
949700206219710500,0.0207,0.0558,0.7165,0.207,0.9218,0.0782,0.1544,0.8456
1671026664,0.0474,0.0541,0.4658,0.4326,0.9747,0.0253,0.2575,0.7425
31519324,0.0765,0.1041,0.6938,0.1256,0.9605,0.0395,0.1003,0.8997
1061659472383410200,0.711,0.1526,0.0878,0.0486,0.7775,0.2225,0.3871,0.6129
847142065272184800,0.4423,0.266,0.2121,0.0797,0.6082,0.3918,0.2914,0.7086
1263552589846765600,0.6833,0.2765,0.0261,0.014,0.1332,0.8668,0.0322,0.9678
1174965068942868500,0.0532,0.0998,0.3723,0.4746,0.7462,0.2538,0.4785,0.5215
3308168356,0.0247,0.0048,0.0893,0.8812,0.9838,0.0162,0.6684,0.3316
1097892822747959300,0.003,0.0097,0.1591,0.8282,0.9566,0.0434,0.5119,0.4881
1132985010368258e3,0.0113,0.0212,0.4835,0.4839,0.9949,0.0051,0.1582,0.8418
1195424021174784e3,0.9042,0.0673,0.0146,0.0139,0.4498,0.5502,0.1149,0.8851
3061603473,0.1418,0.1812,0.4595,0.2175,0.8995,0.1005,0.1056,0.8944
373219000,0.1495,0.0419,0.3541,0.4545,0.4739,0.5261,0.8161,0.1839
3768607043,0.0947,0.1273,0.421,0.357,0.916,0.084,0.1306,0.8694
886918198355951600,0.1354,0.1159,0.3891,0.3596,0.9842,0.0158,0.0901,0.9099
1278393655041163300,0.1735,0.3004,0.4388,0.0872,0.9854,0.0146,0.0549,0.9451
758433605588807700,0.3822,0.0931,0.3864,0.1383,0.9828,0.0172,0.2403,0.7597
1303205579134042e3,0.0069,0.0054,0.17,0.8178,0.9394,0.0606,0.4747,0.5253
1005100998430511100,0.0073,0.0137,0.5352,0.4438,0.9937,0.0063,0.1767,0.8233
1286664479003091e3,0.0236,0.0729,0.35,0.5535,0.7849,0.2151,0.2425,0.7575
1304013935029506e3,0.6513,0.0694,0.079,0.2003,0.8831,0.1169,0.5097,0.4903
1208542352958201900,0.1097,0.0358,0.3445,0.5099,0.5957,0.4043,0.6866,0.3134
589492254,0.0079,0.0084,0.2434,0.7402,0.9962,0.0038,0.1448,0.8552
1277872851358531600,0.0915,0.1754,0.3795,0.3536,0.9044,0.0956,0.3413,0.6587
144267684,0.0227,0.0436,0.6512,0.2825,0.9968,0.0032,0.161,0.839
1205840295738454e3,0.3271,0.2657,0.2996,0.1076,0.7111,0.2889,0.1254,0.8746
66745046,0.0048,0.0151,0.182,0.7981,0.9979,0.0021,0.6807,0.3193
115773656,0.3693,0.1855,0.2312,0.214,0.769,0.231,0.1962,0.8038
3322746039,0.1565,0.111,0.2805,0.452,0.4481,0.5519,0.481,0.519
769248359894876200,0.0438,0.0612,0.3421,0.5529,0.9667,0.0333,0.1157,0.8843
191418386,0.0915,0.1667,0.1988,0.5429,0.9575,0.0425,0.0991,0.9009
904618638552027100,0.0104,0.0049,0.1418,0.843,0.9954,0.0046,0.3258,0.6742
3302883497,0.0216,0.0055,0.1457,0.8272,0.9155,0.0845,0.5211,0.4789
994515546916958200,0.0312,0.0351,0.2716,0.6621,0.9799,0.0201,0.6547,0.3453
