id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
1103021110126354400,0.4361,0.4357,0.0959,0.0322,0.0681,0.9319,0.8074,0.1926
759290912342237200,0.3047,0.3166,0.1903,0.1884,0.0232,0.9768,1e-4,0.9999
731253380316864500,0.7811,0.1998,0.0114,0.0077,0.9964,0.0036,0.6769,0.3231
15790677,0.0177,0.2571,0.6465,0.0787,0.9992,8e-4,4e-4,0.9996
3374126355,0.0864,0.2616,0.5219,0.1301,0.9985,0.0015,0.7163,0.2837
2725704150,0.0262,0.0606,0.0465,0.8668,0.9995,5e-4,0.6271,0.3729
217647141,9e-4,0.0019,0.0046,0.9926,0.9973,0.0027,0.0014,0.9986
989996926195167200,0.1701,0.153,0.0146,0.6622,0.9942,0.0058,0.8375,0.1625
2944500178,0.0119,0.1383,0.1742,0.6755,0.9085,0.0915,0.1532,0.8468
1043857143949086700,0.1519,0.1343,0.1684,0.5454,0.9485,0.0515,0.8345,0.1655
927636645851037700,0.0553,0.2044,0.7384,0.002,0.9996,4e-4,0.2818,0.7182
4819481356,0.2088,0.2966,0.0847,0.4099,0.4292,0.5708,0.0327,0.9673
2783867330,0.1763,0.0967,0.1269,0.6001,0.9997,3e-4,0.5568,0.4432
201633947,0.0744,0.1756,0.2289,0.5211,0.9986,0.0014,0.029,0.971
2393355962,0.5065,0.4742,0.0165,0.0028,0.7271,0.2729,0.9185,0.0815
1287634816800895e3,1e-4,2e-4,2e-4,0.9994,0.9996,4e-4,1e-4,0.9999
